Visitor,Home,Hour,Minute,Year,Month,Day
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,18
'San Jose Sharks','St. Louis Blues',20,0,2021,2,18
'Tampa Bay Lightning','Dallas Stars',20,30,2021,2,18
'Los Angeles Kings','Arizona Coyotes',21,0,2021,2,18
'Minnesota Wild','Anaheim Ducks',22,0,2021,2,18
'Chicago Blackhawks','Carolina Hurricanes',19,0,2021,2,19
'Florida Panthers','Detroit Red Wings',19,30,2021,2,19
'Edmonton Oilers','Calgary Flames',21,0,2021,2,19
'Winnipeg Jets','Vancouver Canucks',22,0,2021,2,19
'Buffalo Sabres','New Jersey Devils',12,30,2021,2,20
'Vegas Golden Knights','Colorado Avalanche',15,0,2021,2,20
'New York Rangers','Washington Capitals',19,0,2021,2,20
'Chicago Blackhawks','Carolina Hurricanes',19,0,2021,2,20
'New York Islanders','Pittsburgh Penguins',19,0,2021,2,20
'Nashville Predators','Columbus Blue Jackets',19,0,2021,2,20
'Toronto Maple Leafs','Montréal Canadiens',19,0,2021,2,20
'Los Angeles Kings','Arizona Coyotes',19,0,2021,2,20
'San Jose Sharks','St. Louis Blues',20,0,2021,2,20
'Tampa Bay Lightning','Dallas Stars',20,0,2021,2,20
'Minnesota Wild','Anaheim Ducks',21,0,2021,2,20
'Calgary Flames','Edmonton Oilers',22,0,2021,2,20
'Philadelphia Flyers','Boston Bruins',15,0,2021,2,21
'New York Rangers','Washington Capitals',17,0,2021,2,21
'Florida Panthers','Detroit Red Wings',19,0,2021,2,21
'Montréal Canadiens','Ottawa Senators',19,0,2021,2,21
'Winnipeg Jets','Vancouver Canucks',22,0,2021,2,21
'Buffalo Sabres','New Jersey Devils',19,0,2021,2,22
'Carolina Hurricanes','Tampa Bay Lightning',19,0,2021,2,22
'Calgary Flames','Toronto Maple Leafs',19,0,2021,2,22
'Los Angeles Kings','St. Louis Blues',20,0,2021,2,22
'Vegas Golden Knights','Colorado Avalanche',21,0,2021,2,22
'Anaheim Ducks','Arizona Coyotes',21,0,2021,2,22
'New York Islanders','New Jersey Devils',19,0,2021,2,23
'Pittsburgh Penguins','Washington Capitals',19,0,2021,2,23
'Dallas Stars','Florida Panthers',19,0,2021,2,23
'Chicago Blackhawks','Columbus Blue Jackets',19,0,2021,2,23
'Montréal Canadiens','Ottawa Senators',19,0,2021,2,23
'Nashville Predators','Detroit Red Wings',19,30,2021,2,23
'Edmonton Oilers','Vancouver Canucks',22,0,2021,2,23
'New York Rangers','Philadelphia Flyers',19,0,2021,2,24
'Calgary Flames','Toronto Maple Leafs',19,0,2021,2,24
'Anaheim Ducks','Arizona Coyotes',21,0,2021,2,24
'Los Angeles Kings','St. Louis Blues',21,30,2021,2,24
'Boston Bruins','New York Islanders',19,0,2021,2,25
'Pittsburgh Penguins','Washington Capitals',19,0,2021,2,25
'Carolina Hurricanes','Tampa Bay Lightning',19,0,2021,2,25
'Dallas Stars','Florida Panthers',19,0,2021,2,25
'Chicago Blackhawks','Columbus Blue Jackets',19,0,2021,2,25
'Calgary Flames','Ottawa Senators',19,0,2021,2,25
'Nashville Predators','Detroit Red Wings',19,30,2021,2,25
'Montréal Canadiens','Winnipeg Jets',20,0,2021,2,25
'Colorado Avalanche','Arizona Coyotes',21,0,2021,2,25
'Edmonton Oilers','Vancouver Canucks',22,0,2021,2,25
'Philadelphia Flyers','Buffalo Sabres',19,0,2021,2,26
'Boston Bruins','New York Rangers',19,0,2021,2,26
'Los Angeles Kings','Minnesota Wild',20,0,2021,2,26
'Vegas Golden Knights','Anaheim Ducks',22,0,2021,2,26
'St. Louis Blues','San Jose Sharks',22,30,2021,2,26
'Washington Capitals','New Jersey Devils',13,0,2021,2,27
'Calgary Flames','Ottawa Senators',13,0,2021,2,27
'Columbus Blue Jackets','Nashville Predators',15,0,2021,2,27
'Pittsburgh Penguins','New York Islanders',19,0,2021,2,27
'Dallas Stars','Tampa Bay Lightning',19,0,2021,2,27
'Carolina Hurricanes','Florida Panthers',19,0,2021,2,27
'Toronto Maple Leafs','Edmonton Oilers',19,0,2021,2,27
'Detroit Red Wings','Chicago Blackhawks',20,0,2021,2,27
'Los Angeles Kings','Minnesota Wild',20,0,2021,2,27
'Colorado Avalanche','Arizona Coyotes',21,0,2021,2,27
'Montréal Canadiens','Winnipeg Jets',22,0,2021,2,27
'Vegas Golden Knights','Anaheim Ducks',22,0,2021,2,27
'St. Louis Blues','San Jose Sharks',22,30,2021,2,27
'Boston Bruins','New York Rangers',12,0,2021,2,28
'Philadelphia Flyers','Buffalo Sabres',15,0,2021,2,28
'Columbus Blue Jackets','Nashville Predators',15,0,2021,2,28
'Pittsburgh Penguins','New York Islanders',17,0,2021,2,28
'Detroit Red Wings','Chicago Blackhawks',19,0,2021,2,28
'Washington Capitals','New Jersey Devils',19,0,2021,3,1
'Dallas Stars','Tampa Bay Lightning',19,0,2021,3,1
'Carolina Hurricanes','Florida Panthers',19,0,2021,3,1
'Calgary Flames','Ottawa Senators',19,0,2021,3,1
'Vancouver Canucks','Winnipeg Jets',20,0,2021,3,1
'Toronto Maple Leafs','Edmonton Oilers',22,0,2021,3,1
'Minnesota Wild','Vegas Golden Knights',22,0,2021,3,1
'St. Louis Blues','Anaheim Ducks',22,0,2021,3,1
'Colorado Avalanche','San Jose Sharks',22,30,2021,3,1
'Buffalo Sabres','New York Rangers',19,0,2021,3,2
'Philadelphia Flyers','Pittsburgh Penguins',19,0,2021,3,2
'Detroit Red Wings','Columbus Blue Jackets',19,0,2021,3,2
'Ottawa Senators','Montréal Canadiens',19,0,2021,3,2
'Vancouver Canucks','Winnipeg Jets',20,0,2021,3,2
'Washington Capitals','Boston Bruins',19,0,2021,3,3
'Toronto Maple Leafs','Edmonton Oilers',20,0,2021,3,3
'St. Louis Blues','Anaheim Ducks',21,30,2021,3,3
'Minnesota Wild','Vegas Golden Knights',22,0,2021,3,3
'Colorado Avalanche','San Jose Sharks',22,30,2021,3,3
'New Jersey Devils','New York Rangers',19,0,2021,3,4
'Detroit Red Wings','Carolina Hurricanes',19,0,2021,3,4
'Philadelphia Flyers','Pittsburgh Penguins',19,0,2021,3,4
'Winnipeg Jets','Montréal Canadiens',19,0,2021,3,4
'Tampa Bay Lightning','Chicago Blackhawks',20,0,2021,3,4
'Florida Panthers','Nashville Predators',20,0,2021,3,4
'Columbus Blue Jackets','Dallas Stars',20,30,2021,3,4
'Ottawa Senators','Calgary Flames',21,0,2021,3,4
'Toronto Maple Leafs','Vancouver Canucks',22,0,2021,3,4
'Washington Capitals','Boston Bruins',19,0,2021,3,5
'New York Rangers','New Jersey Devils',19,0,2021,3,5
'Buffalo Sabres','New York Islanders',19,0,2021,3,5
'Tampa Bay Lightning','Chicago Blackhawks',20,0,2021,3,5
'Anaheim Ducks','Colorado Avalanche',21,0,2021,3,5
'Minnesota Wild','Arizona Coyotes',21,0,2021,3,5
'St. Louis Blues','Los Angeles Kings',21,0,2021,3,5
'Vegas Golden Knights','San Jose Sharks',22,30,2021,3,5
'Florida Panthers','Nashville Predators',14,0,2021,3,6
'Winnipeg Jets','Montréal Canadiens',19,0,2021,3,6
'Toronto Maple Leafs','Vancouver Canucks',19,0,2021,3,6
'Minnesota Wild','Arizona Coyotes',19,0,2021,3,6
'Columbus Blue Jackets','Dallas Stars',20,0,2021,3,6
'Anaheim Ducks','Colorado Avalanche',20,0,2021,3,6
'St. Louis Blues','Los Angeles Kings',21,0,2021,3,6
'Calgary Flames','Edmonton Oilers',22,0,2021,3,6
'Vegas Golden Knights','San Jose Sharks',22,30,2021,3,6
'Buffalo Sabres','New York Islanders',12,0,2021,3,7
'Tampa Bay Lightning','Chicago Blackhawks',14,30,2021,3,7
'New Jersey Devils','Washington Capitals',17,0,2021,3,7
'Philadelphia Flyers','Boston Bruins',19,0,2021,3,7
'New York Rangers','Pittsburgh Penguins',19,30,2021,3,7
'Ottawa Senators','Calgary Flames',21,30,2021,3,7
'Vegas Golden Knights','Minnesota Wild',20,0,2021,3,8
'Ottawa Senators','Edmonton Oilers',21,0,2021,3,8
'Arizona Coyotes','Colorado Avalanche',21,0,2021,3,8
'Montréal Canadiens','Vancouver Canucks',22,0,2021,3,8
'Los Angeles Kings','Anaheim Ducks',22,0,2021,3,8
'New York Rangers','Pittsburgh Penguins',18,0,2021,3,9
'Boston Bruins','New York Islanders',19,0,2021,3,9
'Buffalo Sabres','Philadelphia Flyers',19,0,2021,3,9
'New Jersey Devils','Washington Capitals',19,0,2021,3,9
'Nashville Predators','Carolina Hurricanes',19,0,2021,3,9
'Florida Panthers','Columbus Blue Jackets',19,0,2021,3,9
'Winnipeg Jets','Toronto Maple Leafs',19,0,2021,3,9
'Tampa Bay Lightning','Detroit Red Wings',19,30,2021,3,9
'Chicago Blackhawks','Dallas Stars',20,30,2021,3,9
'Vegas Golden Knights','Minnesota Wild',19,0,2021,3,10
'Ottawa Senators','Edmonton Oilers',20,0,2021,3,10
'Arizona Coyotes','Colorado Avalanche',21,0,2021,3,10
'Los Angeles Kings','Anaheim Ducks',21,30,2021,3,10
'Montréal Canadiens','Vancouver Canucks',23,0,2021,3,10
'New York Rangers','Boston Bruins',19,0,2021,3,11
'Pittsburgh Penguins','Buffalo Sabres',19,0,2021,3,11
'New Jersey Devils','New York Islanders',19,0,2021,3,11
'Washington Capitals','Philadelphia Flyers',19,0,2021,3,11
'Nashville Predators','Carolina Hurricanes',19,0,2021,3,11
'Florida Panthers','Columbus Blue Jackets',19,0,2021,3,11
'Winnipeg Jets','Toronto Maple Leafs',19,0,2021,3,11
'Tampa Bay Lightning','Detroit Red Wings',19,30,2021,3,11
'Chicago Blackhawks','Dallas Stars',20,30,2021,3,11
'Montréal Canadiens','Calgary Flames',21,0,2021,3,11
'Vegas Golden Knights','St. Louis Blues',20,0,2021,3,12
'Arizona Coyotes','Minnesota Wild',20,0,2021,3,12
'Ottawa Senators','Edmonton Oilers',21,0,2021,3,12
'Los Angeles Kings','Colorado Avalanche',21,0,2021,3,12
'San Jose Sharks','Anaheim Ducks',22,0,2021,3,12
'New York Rangers','Boston Bruins',13,0,2021,3,13
'Pittsburgh Penguins','Buffalo Sabres',19,0,2021,3,13
'New York Islanders','New Jersey Devils',19,0,2021,3,13
'Washington Capitals','Philadelphia Flyers',19,0,2021,3,13
'Nashville Predators','Tampa Bay Lightning',19,0,2021,3,13
'Chicago Blackhawks','Florida Panthers',19,0,2021,3,13
'Dallas Stars','Columbus Blue Jackets',19,0,2021,3,13
'Winnipeg Jets','Toronto Maple Leafs',19,0,2021,3,13
'Montréal Canadiens','Calgary Flames',19,0,2021,3,13
'Vegas Golden Knights','St. Louis Blues',20,0,2021,3,13
'Edmonton Oilers','Vancouver Canucks',22,0,2021,3,13
'San Jose Sharks','Anaheim Ducks',22,0,2021,3,13
'Arizona Coyotes','Minnesota Wild',14,0,2021,3,14
'Carolina Hurricanes','Detroit Red Wings',17,0,2021,3,14
